,titles,series,author,avg_rating,no_of_reviews,score,no_of_votes,pages,language,genre,no_of_awards,description,urls
209,At Home: A Short History of Private Life,,Bill Bryson,"3.97 avg rating — 77,356 ratings",6179,"score: 2,974","score: 2,974,
              and
33 people voted",497.0,English,Nonfiction,1,"“Houses aren’t refuges from history. They are where history ends up.”Bill Bryson and his family live in a Victorian parsonage in a part of England where nothing of any great significance has happened since the Romans decamped. Yet one day, he began to consider how very little he knew about the ordinary things of life as he found it in that comfortable home. To remedy this, he formed the idea of journeying about his house from room to room to “write a history of the world without leaving home.” The bathroom provides the occasion for a history of hygiene; the bedroom, sex, death, and sleep; the kitchen, nutrition and the spice trade; and so on, as Bryson shows how each has figured in the evolution of private life. Whatever happens in the world, he demonstrates, ends up in our house, in the paint and the pipes and the pillows and every item of furniture.(front flap)",https://www.goodreads.com/book/show/7507825-at-home
210,The Indigo Spell ,"Bloodlines, #3)",Richelle Mead,"4.39 avg rating — 89,662 ratings",5973,"score: 2,974","score: 2,974,
              and
39 people voted",401.0,English,Young Adult,1,"In the aftermath of a forbidden moment that rocked Sydney to her core, she finds herself struggling to draw the line between her Alchemist teachings and what her heart is urging her to do. Then she meets alluring, rebellious Marcus Finch--a former Alchemist who escaped against all odds, and is now on the run. Marcus wants to teach Sydney the secrets he claims the Alchemists are hiding from her. But as he pushes her to rebel against the people who raised her, Sydney finds that breaking free is harder than she thought. There is an old and mysterious magic rooted deeply within her. And as she searches for an evil magic user targeting powerful young witches, she realizes that her only hope is to embrace her magical blood--or else she might be next.",https://www.goodreads.com/book/show/8709526-the-indigo-spell
211,Circe,,Madeline Miller,"4.27 avg rating — 295,104 ratings",34668,"score: 2,937","score: 2,937,
              and
33 people voted",393.0,English,Fantasy,4,"In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child—not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power—the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from, or the mortals she has come to love.",https://www.goodreads.com/book/show/35959740-circe
212,Empire of Storms ,"Throne of Glass, #5)",Sarah J. Maas,"4.56 avg rating — 176,859 ratings",19019,"score: 2,924","score: 2,924,
              and
36 people voted",689.0,English,Fantasy,1,"This is a previously published edition of ISBN 9781619636071. An alternative cover edition for this ISBN can be found here.Kingdoms will collide.The long path to the throne has only just begun for Aelin Galathynius as war looms on the horizon. Loyalties have been broken and bought, friends have been lost and gained, and those who possess magic find themselves at odds with those who don't.With her heart sworn to the warrior-prince by her side, and her fealty pledged to the people she is determined to save, Aelin will delve into the depths of her power to protect those she loves. But as monsters emerge from the horrors of the past, and dark forces become poised to claim her world, the only chance for salvation will lie in a desperate quest that may mark the end of everything Aelin holds dear.In this breathtaking fifth installment of the New York Times bestselling Throne of Glass series, Aelin will have to choose what—and who—to sacrifice if she's to keep the world of Erilea from breaking apart.",https://www.goodreads.com/book/show/28260587-empire-of-storms
213,Everything I Never Told You,,Celeste Ng,"3.86 avg rating — 313,795 ratings",29744,"score: 2,835","score: 2,835,
              and
36 people voted",292.0,English,Fiction,5,"Lydia is dead. But they don’t know this yet.So begins this exquisite novel about a Chinese American family living in 1970s small-town Ohio. Lydia is the favorite child of Marilyn and James Lee, and her parents are determined that she will fulfill the dreams they were unable to pursue. But when Lydia’s body is found in the local lake, the delicate balancing act that has been keeping the Lee family together is destroyed, tumbling them into chaos. A profoundly moving story of family, secrets, and longing, Everything I Never Told You is both a gripping page-turner and a sensitive family portrait, uncovering the ways in which mothers and daughters, fathers and sons, and husbands and wives struggle, all their lives, to understand one another.",https://www.goodreads.com/book/show/18693763-everything-i-never-told-you
214,Seraphina ,"Seraphina, #1)",Rachel Hartman,"3.96 avg rating — 75,875 ratings",8105,"score: 2,816","score: 2,816,
              and
32 people voted",499.0,English,Fantasy,18,"Librarian Note: Alternate cover edition for ISBN 9780375866562.In her New York Times bestselling and Morris Award-winning debut, Rachel Hartman introduces mathematical dragons in an alternative-medieval world to fantasy and science-fiction readers of all ages. Four decades of peace have done little to ease the mistrust between humans and dragons in the kingdom of Goredd. Folding themselves into human shape, dragons attend court as ambassadors, and lend their rational, mathematical minds to universities as scholars and teachers. As the treaty's anniversary draws near, however, tensions are high.Seraphina Dombegh has reason to fear both sides. An unusually gifted musician, she joins the court just as a member of the royal family is murdered—in suspiciously draconian fashion. Seraphina is drawn into the investigation, partnering with the captain of the Queen's Guard, the dangerously perceptive Prince Lucian Kiggs. While they begin to uncover hints of a sinister plot to destroy the peace, Seraphina struggles to protect her own secret, the secret behind her musical gift, one so terrible that its discovery could mean her very life.",https://www.goodreads.com/book/show/19549841-seraphina
215,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,,Todd Burpo,"4.02 avg rating — 271,393 ratings",14988,"score: 2,783","score: 2,783,
              and
31 people voted",162.0,English,Nonfiction,0,"When Colton Burpo made it through an emergency appendectomy, his family was overjoyed at his miraculous survival. What they weren't expecting, though, was the story that emerged in the months that followed--a story as beautiful as it was extraordinary, detailing their little boy's trip to heaven and back.Colton, not yet four years old, told his parents he left his body during the surgery--and authenticated that claim by describing exactly what his parents were doing in another part of the hospital while he was being operated on. He talked of visiting heaven and relayed stories told to him by people he met there whom he had never met in life, sharing events that happened even before he was born. He also astonished his parents with descriptions and obscure details about heaven that matched the Bible exactly, though he had not yet learned to read.With disarming innocence and the plainspoken boldness of a child, Colton tells of meeting long-departed family members. He describes Jesus, the angels, how ""really, really big"" God is, and how much God loves us. Retold by his father, but using Colton's uniquely simple words, ""Heaven is for Real"" offers a glimpse of the world that awaits us, where as Colton says, ""Nobody is old and nobody wears glasses.""""Heaven is for Real"" will forever change the way you think of eternity, offering you the chance to see, and believe, like a child.",https://www.goodreads.com/book/show/7933292-heaven-is-for-real
216,The Son,,Philipp Meyer,"really liked it 4.00 avg rating — 30,202 ratings",3514,"score: 2,763","score: 2,763,
              and
32 people voted",561.0,English,Fiction,3,"The acclaimed author of American Rust, returns with The Son: an epic, multigenerational saga of power, blood, and land that follows the rise of one unforgettable Texas family from the Comanche raids of the 1800s to the border raids of the early 1900s to the oil booms of the 20th century.Part epic of Texas, part classic coming-of-age story, part unflinching portrait of the bloody price of power, The Son is an utterly transporting novel that maps the legacy of violence in the American West through the lives of the McCulloughs, an ambitious family as resilient and dangerous as the land they claim.Spring, 1849. The first male child born in the newly established Republic of Texas, Eli McCullough is thirteen years old when a marauding band of Comanche storm his homestead and brutally murder his mother and sister, taking him captive. Brave and clever, Eli quickly adapts to Comanche life, learning their ways and language, answering to a new name, carving a place as the chief's adopted son, and waging war against their enemies, including white men-complicating his sense of loyalty and understanding of who he is. But when disease, starvation, and overwhelming numbers of armed Americans decimate the tribe, Eli finds himself alone. Neither white nor Indian, civilized or fully wild, he must carve a place for himself in a world in which he does not fully belong-a journey of adventure, tragedy, hardship, grit, and luck that reverberates in the lives of his progeny. Intertwined with Eli's story are those of his son, Peter, a man who bears the emotional cost of his father's drive for power, and JA, Eli's great-granddaughter, a woman who must fight hardened rivals to succeed in a man's world.Phillipp Meyer deftly explores how Eli's ruthlessness and steely pragmatism transform subsequent generations of McCulloughs. Love, honor, children are sacrificed in the name of ambition, as the family becomes one of the richest powers in Texas, a ranching-and-oil dynasty of unsurpassed wealth and privilege. Yet, like all empires, the McCoulloughs must eventually face the consequences of their choices.Harrowing, panoramic, and vividly drawn, The Son is a masterful achievement from a sublime young talent.",https://www.goodreads.com/book/show/16240761-the-son
217,I Am Pilgrim,,Terry Hayes,"4.26 avg rating — 118,629 ratings",10067,"score: 2,749","score: 2,749,
              and
29 people voted",612.0,English,Thriller,2,"A breakneck race against time...and an implacable enemy. An anonymous young woman murdered in a run-down hotel, all identifying characteristics dissolved by acid. A father publicly beheaded in the blistering heat of a Saudi Arabian public square. A notorious Syrian biotech expert found eyeless in a Damascus junkyard. Smoldering human remains on a remote mountainside in Afghanistan. A flawless plot to commit an appalling crime against humanity. One path links them all, and only one man can make the journey. Pilgrim.'",https://www.goodreads.com/book/show/18144124-i-am-pilgrim
218,Morning Star ,"Red Rising Saga, #3)",Pierce Brown,"4.49 avg rating — 116,798 ratings",10133,"score: 2,730","score: 2,730,
              and
31 people voted",524.0,English,Science Fiction,3,"#1 NEW YORK TIMES BESTSELLER • Red Rising thrilled readers and announced the presence of a talented new author. Golden Son changed the game and took the story of Darrow to the next level. Now comes the exhilarating conclusion to the Red Rising Trilogy: Morning Star.Darrow would have lived in peace, but his enemies brought him war. The Gold overlords demanded his obedience, hanged his wife, and enslaved his people. But Darrow is determined to fight back. Risking everything to transform himself and breach Gold society, Darrow has battled to survive the cutthroat rivalries that breed Society’s mightiest warriors, climbed the ranks, and waited patiently to unleash the revolution that will tear the hierarchy apart from within. Finally, the time has come. But devotion to honor and hunger for vengeance run deep on both sides. Darrow and his comrades-in-arms face powerful enemies without scruple or mercy. Among them are some Darrow once considered friends. To win, Darrow will need to inspire those shackled in darkness to break their chains, unmake the world their cruel masters have built, and claim a destiny too long denied—and too glorious to surrender.",https://www.goodreads.com/book/show/18966806-morning-star
219,The Hidden Oracle ,"The Trials of Apollo, #1)",Rick Riordan,"4.25 avg rating — 99,879 ratings",10080,"score: 2,710","score: 2,710,
              and
33 people voted",375.0,English,Fantasy,1,"How do you punish an immortal?By making him human.After angering his father Zeus, the god Apollo is cast down from Olympus. Weak and disorientated, he lands in New York City as a regular teenage boy. Now, without his godly powers, the four-thousand-year-old deity must learn to survive in the modern world until he can somehow find a way to regain Zeus's favour.But Apollo has many enemies—gods, monsters and mortals who would love to see the former Olympian permanently destroyed. Apollo needs help, and he can think of only one place to go... an enclave of modern demigods known as Camp Half-Blood.",https://www.goodreads.com/book/show/26252859-the-hidden-oracle
220,Eleanor Oliphant Is Completely Fine,,Gail Honeyman,"4.29 avg rating — 650,095 ratings",59085,"score: 2,709","score: 2,709,
              and
32 people voted",336.0,English,Fiction,8,"Librarian's note: An alternate cover edition can be found hereNo one’s ever told Eleanor that life should be better than fineMeet Eleanor Oliphant: she struggles with appropriate social skills and tends to say exactly what she’s thinking. Nothing is missing in her carefully timetabled life of avoiding unnecessary human contact, where weekends are punctuated by frozen pizza, vodka, and phone chats with Mummy. But everything changes when Eleanor meets Raymond, the bumbling and deeply unhygienic IT guy from her office. When she and Raymond together save Sammy, an elderly gentleman who has fallen, the three rescue one another from the lives of isolation that they had been living. Ultimately, it is Raymond’s big heart that will help Eleanor find the way to repair her own profoundly damaged one. If she does, she'll learn that she, too, is capable of finding friendship—and even love—after all.Smart, warm, uplifting, Eleanor Oliphant Is Completely Fine is the story of an out-of-the-ordinary heroine whose deadpan weirdness and unconscious wit make for an irresistible journey as she realizes. . .  the only way to survive is to open your heart.",https://www.goodreads.com/book/show/31434883-eleanor-oliphant-is-completely-fine
221,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,,Marie Kondō,"3.84 avg rating — 266,790 ratings",27574,"score: 2,708","score: 2,708,
              and
30 people voted",213.0,English,Nonfiction,0,"Despite constant efforts to declutter your home, do papers still accumulate like snowdrifts and clothes pile up like a tangled mess of noodles?Japanese cleaning consultant Marie Kondo takes tidying to a whole new level, promising that if you properly simplify and organize your home once, you'll never have to do it again. Most methods advocate a room-by-room or little-by-little approach, which doom you to pick away at your piles of stuff forever. The KonMari Method, with its revolutionary category-by-category system, leads to lasting results. In fact, none of Kondo's clients have lapsed (and she still has a three-month waiting list).With detailed guidance for determining which items in your house ""spark joy"" (and which don't), this international best seller featuring Tokyo's newest lifestyle phenomenon will help you clear your clutter and enjoy the unique magic of a tidy home - and the calm, motivated mindset it can inspire.",https://www.goodreads.com/book/show/22318578-the-life-changing-magic-of-tidying-up
222,When Breath Becomes Air,,Paul Kalanithi,"4.36 avg rating — 392,699 ratings",32025,"score: 2,672","score: 2,672,
              and
31 people voted",208.0,English,Nonfiction,8,"For readers of Atul Gawande, Andrew Solomon, and Anne Lamott, a profoundly moving, exquisitely observed memoir by a young neurosurgeon faced with a terminal cancer diagnosis who attempts to answer the question 'What makes a life worth living?'At the age of thirty-six, on the verge of completing a decade's worth of training as a neurosurgeon, Paul Kalanithi was diagnosed with stage IV lung cancer. One day he was a doctor treating the dying, and the next he was a patient struggling to live. And just like that, the future he and his wife had imagined evaporated. When Breath Becomes Air chronicles Kalanithi's transformation from a naïve medical student ""possessed,"" as he wrote, ""by the question of what, given that all organisms die, makes a virtuous and meaningful life"" into a neurosurgeon at Stanford working in the brain, the most critical place for human identity, and finally into a patient and new father confronting his own mortality. What makes life worth living in the face of death? What do you do when the future, no longer a ladder toward your goals in life, flattens out into a perpetual present? What does it mean to have a child, to nurture a new life as another fades away? These are some of the questions Kalanithi wrestles with in this profoundly moving, exquisitely observed memoir. Paul Kalanithi died in March 2015, while working on this book, yet his words live on as a guide and a gift to us all. ""I began to realize that coming face to face with my own mortality, in a sense, had changed nothing and everything,"" he wrote. ""Seven words from Samuel Beckett began to repeat in my head: 'I can't go on. I'll go on.'"" When Breath Becomes Air is an unforgettable, life-affirming reflection on the challenge of facing death and on the relationship between doctor and patient, from a brilliant writer who became both.",https://www.goodreads.com/book/show/25899336-when-breath-becomes-air
223,The Fifth Season ,"The Broken Earth, #1)",N.K. Jemisin,"4.30 avg rating — 130,614 ratings",15617,"score: 2,655","score: 2,655,
              and
29 people voted",468.0,English,Fantasy,13,"original cover of ISBN 0316229296/9780316229296This is the way the world ends. Again.Three terrible things happen in a single day. Essun, a woman living an ordinary life in a small town, comes home to find that her husband has brutally murdered their son and kidnapped their daughter. Meanwhile, mighty Sanze -- the world-spanning empire whose innovations have been civilization's bedrock for a thousand years -- collapses as most of its citizens are murdered to serve a madman's vengeance. And worst of all, across the heart of the vast continent known as the Stillness, a great red rift has been torn into the heart of the earth, spewing ash enough to darken the sky for years. Or centuries.Now Essun must pursue the wreckage of her family through a deadly, dying land. Without sunlight, clean water, or arable land, and with limited stockpiles of supplies, there will be war all across the Stillness: a battle royale of nations not for power or territory, but simply for the basic resources necessary to get through the long dark night. Essun does not care if the world falls apart around her. She'll break it herself, if she must, to save her daughter.",https://www.goodreads.com/book/show/19161852-the-fifth-season
224,Lincoln in the Bardo,,George Saunders,"3.75 avg rating — 117,277 ratings",19173,"score: 2,647","score: 2,647,
              and
30 people voted",343.0,English,Fiction,10,"In his long-awaited first novel, American master George Saunders delivers his most original, transcendent, and moving work yet. Unfolding in a graveyard over the course of a single night, narrated by a dazzling chorus of voices, Lincoln in the Bardo is a literary experience unlike any other—for no one but Saunders could conceive it.February 1862. The Civil War is less than one year old. The fighting has begun in earnest, and the nation has begun to realize it is in for a long, bloody struggle. Meanwhile, President Lincoln’s beloved eleven-year-old son, Willie, lies upstairs in the White House, gravely ill. In a matter of days, despite predictions of a recovery, Willie dies and is laid to rest in a Georgetown cemetery. “My poor boy, he was too good for this earth,” the president says at the time. “God has called him home.” Newspapers report that a grief-stricken Lincoln returned to the crypt several times alone to hold his boy’s body.From that seed of historical truth, George Saunders spins an unforgettable story of familial love and loss that breaks free of its realistic, historical framework into a thrilling, supernatural realm both hilarious and terrifying. Willie Lincoln finds himself in a strange purgatory, where ghosts mingle, gripe, commiserate, quarrel, and enact bizarre acts of penance. Within this transitional state—called, in the Tibetan tradition, the bardo—a monumental struggle erupts over young Willie’s soul.Lincoln in the Bardo is an astonishing feat of imagination and a bold step forward from one of the most important and influential writers of his generation. Formally daring, generous in spirit, deeply concerned with matters of the heart, it is a testament to fiction’s ability to speak honestly and powerfully to the things that really matter to us. Saunders has invented a thrilling new form that deploys a kaleidoscopic, theatrical panorama of voices—living and dead, historical and invented—to ask a timeless, profound question: How do we live and love when we know that everything we love must end?",https://www.goodreads.com/book/show/29906980-lincoln-in-the-bardo
225,The Black Prism ,"Lightbringer, #1)",Brent Weeks,"4.23 avg rating — 95,951 ratings",4730,"score: 2,637","score: 2,637,
              and
28 people voted",629.0,English,Fantasy,3,"Guile is the Prism, the most powerful man in the world. He is high priest and emperor, a man whose power, wit, and charm are all that preserves a tenuous peace. Yet Prisms never last, and Guile knows exactly how long he has left to live.When Guile discovers he has a son, born in a far kingdom after the war that put him in power, he must decide how much he's willing to pay to protect a secret that could tear his world apart.",https://www.goodreads.com/book/show/7165300-the-black-prism
226,Every Day ,"Every Day, #1)",David Levithan,"3.94 avg rating — 191,609 ratings",20412,"score: 2,611","score: 2,611,
              and
30 people voted",322.0,English,Young Adult,14,"Every day a different body. Every day a different life. Every day in love with the same girl.There’s never any warning about where it will be or who it will be. A has made peace with that, even established guidelines by which to live: Never get too attached. Avoid being noticed. Do not interfere.It’s all fine until the morning that A wakes up in the body of Justin and meets Justin’s girlfriend, Rhiannon. From that moment, the rules by which A has been living no longer apply. Because finally A has found someone A wants to be with—day in, day out, day after day.",https://www.goodreads.com/book/show/13262783-every-day
227,Homegoing,,Yaa Gyasi,"4.43 avg rating — 156,113 ratings",18988,"score: 2,591","score: 2,591,
              and
29 people voted",320.0,English,Historical,13,"A novel of breathtaking sweep and emotional power that traces three hundred years in Ghana and along the way also becomes a truly great American novel. Extraordinary for its exquisite language, its implacable sorrow, its soaring beauty, and for its monumental portrait of the forces that shape families and nations, Homegoing heralds the arrival of a major new voice in contemporary fiction.Two half-sisters, Effia and Esi, are born into different villages in eighteenth-century Ghana. Effia is married off to an Englishman and lives in comfort in the palatial rooms of Cape Coast Castle. Unbeknownst to Effia, her sister, Esi, is imprisoned beneath her in the castle's dungeons, sold with thousands of others into the Gold Coast's booming slave trade, and shipped off to America, where her children and grandchildren will be raised in slavery. One thread of Homegoing follows Effia's descendants through centuries of warfare in Ghana, as the Fante and Asante nations wrestle with the slave trade and British colonization. The other thread follows Esi and her children into America. From the plantations of the South to the Civil War and the Great Migration, from the coal mines of Pratt City, Alabama, to the jazz clubs and dope houses of twentieth-century Harlem, right up through the present day, Homegoing makes history visceral, and captures, with singular and stunning immediacy, how the memory of captivity came to be inscribed in the soul of a nation. Generation after generation, Yaa Gyasi's magisterial first novel sets the fate of the individual against the obliterating movements of time, delivering unforgettable characters whose lives were shaped by historical forces beyond their control. Homegoing is a tremendous reading experience, not to be missed, by an astonishingly gifted young writer.",https://www.goodreads.com/book/show/27071490-homegoing
228,All the Bright Places,,Jennifer Niven,"4.16 avg rating — 279,605 ratings",31721,"score: 2,570","score: 2,570,
              and
35 people voted",378.0,English,Young Adult,12,"The Fault in Our Stars meets Eleanor and Park in this exhilarating and heart-wrenching love story about a girl who learns to live from a boy who intends to die.Soon to be a major motion picture starring Elle Fanning! Theodore Finch is fascinated by death, and he constantly thinks of ways he might kill himself. But each time, something good, no matter how small, stops him. Violet Markey lives for the future, counting the days until graduation, when she can escape her Indiana town and her aching grief in the wake of her sister’s recent death. When Finch and Violet meet on the ledge of the bell tower at school, it’s unclear who saves whom. And when they pair up on a project to discover the “natural wonders” of their state, both Finch and Violet make more important discoveries: It’s only with Violet that Finch can be himself—a weird, funny, live-out-loud guy who’s not such a freak after all. And it’s only with Finch that Violet can forget to count away the days and start living them. But as Violet’s world grows, Finch’s begins to shrink. This is an intense, gripping novel perfect for fans of Jay Asher, Rainbow Rowell, John Green, Gayle Forman, and Jenny Downham from a talented new voice in YA, Jennifer Niven.",https://www.goodreads.com/book/show/18460392-all-the-bright-places
229,The Hundred Thousand Kingdoms ,"Inheritance, #1)",N.K. Jemisin,"3.86 avg rating — 50,415 ratings",5335,"score: 2,559","score: 2,559,
              and
28 people voted",427.0,English,Fantasy,11,"['Yeine Darr is an outcast from the barbarian north. But when her mother dies under mysterious circumstances, she is summoned to the majestic city of Sky. There, to her shock, Yeine is named an heiress to the king. But the throne of the Hundred Thousand Kingdoms is not easily won, and Yeine is thrust into a vicious power struggle.']",https://www.goodreads.com/book/show/6437061-the-hundred-thousand-kingdoms
230,Code Name Verity,,Elizabeth Wein,"4.05 avg rating — 91,734 ratings",14267,"score: 2,550","score: 2,550,
              and
30 people voted",452.0,English,Historical,15,"Oct. 11th, 1943 - A British spy plane crashes in Nazi-occupied France. Its pilot and passenger are best friends. One of the girls has a chance at survival. The other has lost the game before it's barely begun. When ""Verity"" is arrested by the Gestapo, she's sure she doesn't stand a chance. As a secret agent captured in enemy territory, she's living a spy's worst nightmare. Her Nazi interrogators give her a simple choice: reveal her mission or face a grisly execution. As she intricately weaves her confession, Verity uncovers her past, how she became friends with the pilot Maddie, and why she left Maddie in the wrecked fuselage of their plane. On each new scrap of paper, Verity battles for her life, confronting her views on courage and failure and her desperate hope to make it home. But will trading her secrets be enough to save her from the enemy? Harrowing and beautifully written, Elizabeth Wein creates a visceral read of danger, resolve, and survival that shows just how far true friends will go to save each other. Code Name Verity is an outstanding novel that will stick with you long after the last page.",https://www.goodreads.com/book/show/11925514-code-name-verity
231,This Is How You Lose Her,,Junot Díaz,"3.76 avg rating — 87,938 ratings",7505,"score: 2,543","score: 2,543,
              and
29 people voted",217.0,English,Fiction,9,"On a beach in the Dominican Republic, a doomed relationship flounders. In the heat of a hospital laundry room in New Jersey, a woman does her lover’s washing and thinks about his wife. In Boston, a man buys his love child, his only son, a first baseball bat and glove. At the heart of these stories is the irrepressible, irresistible Yunior, a young hardhead whose longing for love is equaled only by his recklessness—and by the extraordinary women he loves and loses: artistic Alma; the aging Miss Lora; Magdalena, who thinks all Dominican men are cheaters; and the love of his life, whose heartbreak ultimately becomes his own. In prose that is endlessly energetic, inventive, tender, and funny, the stories in This Is How You Lose Her lay bare the infinite longing and inevitable weakness of the human heart. They remind us that passion always triumphs over experience, and that “the half-life of love is forever.”",https://www.goodreads.com/book/show/13503109-this-is-how-you-lose-her
232,Yes Please,,Amy Poehler,"3.83 avg rating — 416,399 ratings",25158,"score: 2,506","score: 2,506,
              and
31 people voted",329.0,English,Nonfiction,4,"In Amy Poehler’s highly anticipated first book, Yes Please, she offers up a big juicy stew of personal stories, funny bits on sex and love and friendship and parenthood and real life advice (some useful, some not so much), like when to be funny and when to be serious. Powered by Amy’s charming and hilarious, biting yet wise voice, Yes Please is a book full of words to live by.",https://www.goodreads.com/book/show/20910157-yes-please
233,Exotic Neurotic,,Kenneth Jarrett Singleton,4.39 avg rating — 348 ratings,11,"score: 2,498","score: 2,498,
              and
25 people voted",108.0,English,Poetry,0,"[""SYNOPSIS Exotic Neurotic is a book of poetry which involves subject matter such as depression, imbalance within one's personal self, angst, frustration, youthfulness, antisocial behavior, and violence. In addition, many of Exotic Neurotic's thematic properties also pertain to love, illness, death, human anatomy, physical deformities, elimination, birth, and abortion.""]",https://www.goodreads.com/book/show/29395568-exotic-neurotic
234,The Wrath and the Dawn ,"The Wrath and the Dawn, #1)",Renée Ahdieh,"4.13 avg rating — 105,439 ratings",16301,"score: 2,449","score: 2,449,
              and
29 people voted",404.0,English,Fantasy,3,"One Life to One Dawn.In a land ruled by a murderous boy-king, each dawn brings heartache to a new family. Khalid, the eighteen-year-old Caliph of Khorasan, is a monster. Each night he takes a new bride only to have a silk cord wrapped around her throat come morning. When sixteen-year-old Shahrzad's dearest friend falls victim to Khalid, Shahrzad vows vengeance and volunteers to be his next bride. Shahrzad is determined not only to stay alive, but to end the caliph's reign of terror once and for all.Night after night, Shahrzad beguiles Khalid, weaving stories that enchant, ensuring her survival, though she knows each dawn could be her last. But something she never expected begins to happen: Khalid is nothing like what she'd imagined him to be. This monster is a boy with a tormented heart. Incredibly, Shahrzad finds herself falling in love. How is this possible? It's an unforgivable betrayal. Still, Shahrzad has come to understand all is not as it seems in this palace of marble and stone. She resolves to uncover whatever secrets lurk and, despite her love, be ready to take Khalid's life as retribution for the many lives he's stolen. Can their love survive this world of stories and secrets?",https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn
235,Maybe Someday ,"Maybe, #1)",Colleen Hoover,"4.28 avg rating — 164,075 ratings",16983,"score: 2,374","score: 2,374,
              and
28 people voted",385.0,English,Romance,1,"Contains exclusive content: songs from Griffin Peterson Sydney is living in an idyllic bubble—she's a dedicated student with a steady job on the side. She lives with her best friend, has a great boyfriend, and the music coming from the balcony opposite hers is fast becoming the soundtrack to her life. But when Sydney finds out her boyfriend is cheating on her, the bubble bursts. The mysterious and attractive man behind the music, Ridge, gives Sydney hope that she can move on and they begin to write songs together. But moving on is harder than she expects, Sydney can only hope…. Maybe someday… Colleen Hoover draws you in to this passionate tale of music, love and betrayal…",https://www.goodreads.com/book/show/24445517-maybe-someday
236,The Secret Keeper,,Kate Morton,"4.14 avg rating — 131,678 ratings",14200,"score: 2,319","score: 2,319,
              and
27 people voted",484.0,English,Historical,3,"During a summer party at the family farm in the English countryside, sixteen-year-old Laurel Nicolson has escaped to her childhood tree house and is happily dreaming of the future. She spies a stranger coming up the long road to the farm and watches as her mother speaks to him. Before the afternoon is over, Laurel will witness a shocking crime. A crime that challenges everything she knows about her family and especially her mother, Dorothy—her vivacious, loving, nearly perfect mother.Now, fifty years later, Laurel is a successful and well-regarded actress living in London. The family is gathering at Greenacres farm for Dorothy’s ninetieth birthday. Realizing that this may be her last chance, Laurel searches for answers to the questions that still haunt her from that long-ago day, answers that can only be found in Dorothy’s past.Dorothy’s story takes the reader from pre–WWII England through the blitz, to the ’60s and beyond. It is the secret history of three strangers from vastly different worlds—Dorothy, Vivien, and Jimmy—who meet by chance in wartime London and whose lives are forever entwined. The Secret Keeper explores longings and dreams and the unexpected consequences they sometimes bring. It is an unforgettable story of lovers and friends, deception and passion that is told—in Morton’s signature style—against a backdrop of events that changed the world.",https://www.goodreads.com/book/show/13508607-the-secret-keeper
237,The Circle,,Dave Eggers,"3.43 avg rating — 180,036 ratings",22972,"score: 2,316","score: 2,316,
              and
29 people voted",493.0,English,Fiction,5,"When Mae Holland is hired to work for the Circle, the world's most powerful internet company, she feels she's been given the opportunity of a lifetime. The Circle, run out of a sprawling California campus, links users' personal emails, social media, banking, and purchasing with their universal operating system, resulting in one online identity and a new age of civility and transparency. As Mae tours the open-plan office spaces, the towering glass dining facilities, the cozy dorms for those who spend nights at work, she is thrilled with the company's modernity and activity. There are parties that last through the night, there are famous musicians playing on the lawn, there are athletic activities and clubs and brunches, and even an aquarium of rare fish retrieved from the Marianas Trench by the CEO. Mae can't believe her luck, her great fortune to work for the most influential company in the world--even as life beyond the campus grows distant, even as a strange encounter with a colleague leaves her shaken, even as her role at the Circle becomes increasingly public. What begins as the captivating story of one woman's ambition and idealism soon becomes a heart-racing novel of suspense, raising questions about memory, history, privacy, democracy, and the limits of human knowledge.(front flap)",https://www.goodreads.com/book/show/18302455-the-circle
